date,上证指数_close,深证成指_close,创业板指_close,沪深300_close,科创50_close,上证指数_pct,深证成指_pct,创业板指_pct,沪深300_pct,科创50_pct,amount_yi,up,down,flat,limit_up,limit_down
2025-01-02,3262.56,10088.06,2060.44,3820.40,955.33,-2.66,-3.14,-3.79,-2.91,-3.40,13965.3,,,,,
2025-01-03,3211.43,9897.12,2015.97,3775.16,941.82,-1.57,-1.89,-2.16,-1.18,-1.41,12678.6,,,,,
2025-01-06,3206.92,9885.65,2014.19,3768.97,938.71,-0.14,-0.12,-0.09,-0.16,-0.33,10586.3,,,,,
2025-01-07,3229.64,9998.76,2028.36,3796.11,965.53,0.71,1.14,0.70,0.72,2.86,10766.4,,,,,
2025-01-08,3230.17,9944.64,2008.44,3789.22,965.12,0.02,-0.54,-0.98,-0.18,-0.04,12429.7,,,,,
2025-01-09,3211.39,9976.00,2010.66,3779.88,961.44,-0.58,0.32,0.11,-0.25,-0.38,11119.3,,,,,
2025-01-10,3168.52,9795.94,1975.30,3732.48,950.59,-1.33,-1.80,-1.76,-1.25,-1.13,11482.7,,,,,
2025-01-13,3160.76,9796.18,1982.46,3722.51,952.19,-0.24,0.00,0.36,-0.27,0.17,9663.8,,,,,
2025-01-14,3240.94,10165.17,2075.76,3820.54,981.78,2.54,3.77,4.71,2.63,3.11,13507.0,,,,,
2025-01-15,3227.12,10060.13,2037.93,3796.03,977.66,-0.43,-1.03,-1.82,-0.64,-0.42,11888.3,,,,,
2025-01-16,3236.03,10101.10,2051.35,3800.38,956.40,0.28,0.41,0.66,0.11,-2.17,12738.0,,,,,
2025-01-17,3241.82,10161.32,2067.27,3812.34,965.90,0.18,0.60,0.78,0.31,0.99,11355.3,,,,,
2025-01-20,3244.38,10256.40,2104.73,3829.68,968.27,0.08,0.94,1.81,0.45,0.25,11829.3,,,,,
2025-01-21,3242.62,10305.69,2112.39,3832.61,976.30,-0.05,0.48,0.36,0.08,0.83,12052.4,,,,,
2025-01-22,3213.62,10225.87,2101.03,3797.02,975.34,-0.89,-0.77,-0.54,-0.93,-0.10,11358.6,,,,,
2025-01-23,3230.16,10176.17,2093.31,3803.74,966.11,0.51,-0.49,-0.37,0.18,-0.95,13552.8,,,,,
2025-01-24,3252.63,10292.73,2121.84,3832.86,974.83,0.70,1.15,1.36,0.77,0.90,12220.2,,,,,
2025-01-27,3250.60,10156.07,2063.82,3817.08,955.09,-0.06,-1.33,-2.73,-0.41,-2.02,11178.7,,,,,
2025-02-05,3229.49,10164.22,2062.92,3795.08,982.83,-0.65,0.08,-0.04,-0.58,2.90,12895.5,,,,,
2025-02-06,3270.66,10393.63,2120.75,3842.83,1011.22,1.27,2.26,2.80,1.26,2.89,15353.6,,,,,
2025-02-07,3303.67,10576.00,2174.35,3892.70,1018.80,1.01,1.75,2.53,1.30,0.75,19602.5,,,,,
2025-02-10,3322.17,10631.25,2183.88,3901.06,1036.77,0.56,0.52,0.44,0.21,1.76,17308.2,,,,,
